Date,Close,Returns
2025-01-01,1006.36,0.0
2025-01-02,1005.09,-0.001262
2025-01-03,1013.31,0.008178
2025-01-06,1032.23,0.018671
2025-01-07,1029.74,-0.002412
2025-01-08,1027.26,-0.002408
2025-01-09,1047.14,0.019352
2025-01-10,1057.2,0.009607
2025-01-13,1051.67,-0.005231
2025-01-14,1058.94,0.006913
2025-01-15,1053.47,-0.005166
2025-01-16,1048.01,-0.005183
2025-01-17,1051.47,0.003301
2025-01-20,1027.75,-0.022559
2025-01-21,1006.89,-0.020297
2025-01-22,1000.5,-0.006346
2025-01-23,988.74,-0.011754
2025-01-24,992.86,0.004167
2025-01-27,982.44,-0.010495
2025-01-28,966.18,-0.016551
2025-01-29,983.56,0.017988
2025-01-30,981.29,-0.002308
2025-01-31,982.48,0.001213
2025-02-03,966.07,-0.016703
2025-02-04,960.15,-0.006128
2025-02-05,961.81,0.001729
2025-02-06,948.91,-0.013412
2025-02-07,953.57,0.004911
2025-02-10,947.08,-0.006806
2025-02-11,944.14,-0.003104
2025-02-12,937.7,-0.006821
2025-02-13,958.92,0.02263
2025-02-14,959.15,0.00024
2025-02-17,947.36,-0.012292
2025-02-18,957.09,0.010271
2025-02-19,943.45,-0.014252
2025-02-20,946.19,0.002904
2025-02-21,924.32,-0.023114
2025-02-24,909.95,-0.015547
2025-02-25,912.47,0.002769
2025-02-26,920.92,0.009261
2025-02-27,923.18,0.002454
2025-02-28,922.27,-0.000986
2025-03-03,919.31,-0.003209
2025-03-04,903.36,-0.01735
2025-03-05,895.92,-0.008236
2025-03-06,891.33,-0.005123
2025-03-07,902.99,0.013082
2025-03-10,907.08,0.004529
2025-03-11,888.25,-0.020759
2025-03-12,892.06,0.004289
2025-03-13,888.29,-0.004226
2025-03-14,881.43,-0.007723
2025-03-17,888.25,0.007737
2025-03-18,899.6,0.012778
2025-03-19,910.01,0.011572
2025-03-20,901.21,-0.00967
2025-03-21,898.23,-0.003307
2025-03-24,902.16,0.004375
2025-03-25,913.08,0.012104
2025-03-26,908.2,-0.005345
2025-03-27,906.53,-0.001839
2025-03-28,894.86,-0.012873
2025-03-31,882.38,-0.013946
2025-04-01,891.33,0.010143
2025-04-02,906.19,0.016672
